bedrooms,house_size,floor,city,price
2,1943,2,Bengaluru,506364
2,3593,3,Bengaluru,862100
3,,1,Bengaluru,707288
,3186,2,Gurugram,728579
2,3395,1,Noida,470162
1,1879,1,Noida,230216
4,939,3,Bengaluru,406089
4,3276,1,Noida,549351
1,1619,1,Bengaluru,382759
2,3488,2,Bengaluru,778788
1,663,1,Gurugram,140032
4,647,3,Gurugram,331731
5,2841,,Gurugram,723960
5,694,3,Bengaluru,436896
3,1162,1,Noida,315456
1,979,2,Bengaluru,251970
1,622,3,Gurugram,160427
3,1923,1,,544093
3,3246,3,Noida,471080
3,1464,3,Noida,326338
4,3208,2,Bengaluru,857689
1,3675,3,,830834
4,2278,2,Gurugram,580930
3,1985,1,Bengaluru,564145
1,2514,3,Bengaluru,582857
4,1209,1,Noida,338180
4,2943,1,Gurugram,635593
3,1411,1,Bengaluru,440546
1,1860,3,Gurugram,359335
3,3552,2,Gurugram,701298
1,3713,3,Bengaluru,819179
5,2864,1,Gurugram,677174
2,2234,2,Noida,322887
2,,1,Bengaluru,570498
2,2079,2,Gurugram,443736
3,3972,3,Bengaluru,939651
5,1180,2,,496054
1,1833,3,Noida,304681
4,,1,Noida,510340
1,1055,2,Gurugram,231276
4,1109,1,Gurugram,413124
1,2656,2,Bengaluru,607588
5,871,3,,417495
4,3402,2,Gurugram,712097
3,1115,2,Noida,287756
1,3315,3,Gurugram,576954
1,2414,3,Gurugram,460598
,2753,3,Gurugram,668496
3,1346,2,Noida,305206
,542,1,Gurugram,248941
5,1364,2,Noida,368602
3,1768,2,Gurugram,390486
3,3858,1,Bengaluru,953463
,1878,3,Noida,317902
2,1284,2,Gurugram,319146
5,975,1,Gurugram,402776
1,582,3,Noida,162827
4,1633,3,Noida,392596
1,2737,2,Bengaluru,653445
,1299,3,Gurugram,470772
4,1435,3,Bengaluru,539926
5,,1,Gurugram,649735
3,2838,1,Gurugram,539659
,2168,3,Gurugram,554635
3,3772,1,Gurugram,697788
1,825,3,Noida,161301
1,2034,2,,366836
4,3980,1,Gurugram,819102
4,2485,3,Noida,457212
5,2464,3,Noida,534893
5,1336,1,Noida,410878
3,1007,,Gurugram,306935
4,3278,2,Bengaluru,885164
1,2619,3,Bengaluru,584228
5,1770,2,,439346
,1140,2,Noida,357158
1,3487,,Gurugram,639825
5,2378,1,Bengaluru,760175
3,1107,2,Noida,313902
,2458,1,Bengaluru,725888
1,1065,,Gurugram,206486
4,1867,2,Noida,376009
5,2601,,Gurugram,651668
,2253,3,Noida,514806
1,3075,2,Bengaluru,679194
3,3158,3,Gurugram,609004
2,2081,2,Gurugram,447091
1,2486,2,Gurugram,410935
2,2740,2,Gurugram,522553
2,2605,2,Gurugram,545625
3,3682,3,Noida,549181
2,628,3,Gurugram,245733
2,2372,2,Noida,364136
3,1205,2,Bengaluru,390821
,1351,3,Noida,279686
2,3897,1,Gurugram,693285
2,507,1,Noida,130983
1,2576,1,Bengaluru,542126
1,1635,3,Gurugram,332915
1,3494,3,Gurugram,646926
,2678,1,Bengaluru,674074
5,2735,1,Gurugram,651110
2,2198,2,Bengaluru,567555
2,3256,3,Noida,429321
3,1998,3,Gurugram,526780
2,3935,1,Bengaluru,879686
1,3775,1,Bengaluru,805021
5,,3,Noida,539809
4,2144,2,Bengaluru,667495
2,775,1,Gurugram,269494
1,3644,3,Bengaluru,794735
4,2202,3,Gurugram,577631
5,2295,2,Noida,473381
4,742,2,Bengaluru,387585
1,3673,1,Bengaluru,829767
4,3534,1,Gurugram,769147
3,3232,1,Noida,485856
4,670,3,Noida,276343
2,1152,1,Gurugram,282815
2,2432,3,Noida,366982
3,2735,1,Gurugram,561316
1,1609,2,Gurugram,315480
,1999,2,Bengaluru,518469
5,2599,3,Noida,554056
2,,2,Gurugram,532986
2,2472,3,Gurugram,499544
1,3424,3,Gurugram,602245
4,1566,2,Gurugram,481327
2,2758,,Gurugram,533067
3,2535,2,Bengaluru,677317
4,3771,1,Bengaluru,943632
5,1357,1,Bengaluru,540997
1,3174,2,Bengaluru,708770
5,1549,2,Bengaluru,589017
,798,2,Bengaluru,359822
4,3648,2,Noida,600111
4,1423,,Gurugram,425490
5,636,3,Gurugram,395989
4,1543,3,Noida,375545
5,2987,1,Gurugram,721698
4,710,3,Noida,309900
3,3299,1,Bengaluru,850293
4,2074,3,Gurugram,538773
5,,2,Gurugram,706202
,1279,2,Bengaluru,365924
4,1730,2,Gurugram,457333
2,2986,1,Gurugram,547838
3,,,Gurugram,458488
1,3213,3,Bengaluru,749975
3,1565,3,Gurugram,453430
4,910,3,Gurugram,363548
2,3353,1,Noida,454062
2,3157,3,Gurugram,606830
5,926,2,Noida,336338
2,3846,3,Bengaluru,919725
5,1971,2,Bengaluru,687709
1,3449,1,,728980
4,1441,2,Bengaluru,514797
5,2407,2,Gurugram,625794
1,1241,2,Bengaluru,341998
2,1892,1,Gurugram,392142
2,1743,1,Bengaluru,457484
1,2100,1,Noida,306417
2,,1,Noida,259791
1,827,3,Gurugram,209011
5,1966,1,Gurugram,556673
5,2599,2,Noida,517827
1,2466,1,Bengaluru,593996
5,875,3,Noida,374230
5,762,3,Noida,369635
5,766,3,Bengaluru,449492
3,2906,2,Gurugram,599482
4,3888,,Bengaluru,1012435
2,3895,1,Gurugram,715060
3,2444,1,Bengaluru,646357
5,2393,2,Gurugram,647715
1,2401,2,,334898
5,3199,3,Gurugram,775751
4,2152,3,Noida,428495
5,1944,1,Bengaluru,646952
1,545,2,Noida,134007
4,1099,2,Gurugram,389892
5,1219,1,Noida,366996
4,2412,1,Bengaluru,686668
2,1792,3,Gurugram,405837
2,1100,3,Bengaluru,319815
5,880,3,Noida,368386
4,617,1,Noida,285632
1,2663,1,Noida,331958
5,759,3,Bengaluru,414650
,1598,3,Bengaluru,435969
2,2003,2,Noida,350039
5,2852,2,Noida,536447
4,2554,3,Bengaluru,764513
2,865,3,Noida,204073
4,2157,2,Noida,458303
2,3070,3,Noida,447822
2,3919,2,Noida,504939
3,1961,2,Noida,330769
2,2524,2,Noida,380371
1,3786,1,Gurugram,631531
5,2976,1,Bengaluru,863478
,1290,3,Gurugram,484288
4,1246,2,Bengaluru,442917
2,2914,1,,409265
1,812,3,Bengaluru,257250
4,1037,3,Gurugram,400164
3,1420,3,Bengaluru,438938
4,1577,3,Noida,410785
4,1990,3,Bengaluru,636573
2,3412,2,Noida,472310
3,3735,3,Gurugram,722335
4,3329,2,Bengaluru,900941
1,,1,Gurugram,457671
1,1297,3,Gurugram,257586
5,847,1,Bengaluru,454731
3,772,2,Gurugram,299971
3,3510,2,Noida,526830
5,1219,1,Bengaluru,522674
4,2273,,Noida,477563
3,3985,3,Bengaluru,992158
1,3047,1,Noida,360351
1,,1,Bengaluru,775239
2,1184,1,Gurugram,274331
3,2626,3,Bengaluru,733411
4,1121,3,Gurugram,372640
5,2539,3,Noida,543716
5,3788,1,Gurugram,838047
4,1446,3,Noida,403961
2,2905,2,Bengaluru,710791
5,3165,1,Bengaluru,884535
3,1006,3,Gurugram,322750
2,2082,1,Bengaluru,526284
3,3752,2,Noida,567853
1,3123,2,Gurugram,554580
2,3817,1,Gurugram,660835
5,743,1,Gurugram,377023
2,1005,2,Noida,237005
2,921,1,Bengaluru,289456
2,,2,Noida,465900
2,3658,2,,847670
3,2764,3,Noida,426697
1,3849,1,Bengaluru,796930
4,2372,1,Noida,468503
2,3556,3,Gurugram,713820
5,1692,2,Noida,466485
2,829,1,Bengaluru,223588
5,1149,3,Gurugram,448889
3,1964,3,Bengaluru,561006
5,890,1,Noida,319581
4,2019,3,Bengaluru,643097
1,880,2,Noida,154304
5,3877,3,Noida,644418
5,1241,2,Gurugram,415023
1,2510,2,Noida,308821
4,1319,,Noida,342058
2,,3,Bengaluru,362031
5,3060,2,Bengaluru,903255
1,,2,Bengaluru,530959
3,3496,3,Noida,522707
1,1711,2,Noida,224755
,1429,3,Gurugram,358931
4,2039,1,Noida,392074
2,1412,2,Bengaluru,429566
1,1143,2,Noida,201593
5,926,3,Bengaluru,470975
4,1001,3,Gurugram,370268
1,1229,3,Bengaluru,350620
5,1783,3,Noida,438077
1,2618,2,Bengaluru,573606
3,3025,1,,460630
1,3749,,Bengaluru,766137
1,956,1,Bengaluru,230410
1,2736,1,Noida,328875
4,790,3,Gurugram,339275
1,1419,2,Gurugram,263084
5,2839,2,Gurugram,736557
3,2469,2,Gurugram,567615
3,1255,3,Gurugram,402542
1,2158,2,Gurugram,391719
4,2334,3,Bengaluru,687028
4,1806,2,Gurugram,522933
5,2067,1,Noida,468404
1,2369,3,Bengaluru,532590
3,876,2,Bengaluru,325379
4,1679,1,Gurugram,455361
1,1007,1,Gurugram,210609
4,1936,1,Gurugram,502029
4,3075,3,Bengaluru,841328
3,3926,3,Bengaluru,1011992
2,1058,2,Noida,198737
5,3758,,Bengaluru,1025054
5,3602,2,Noida,620650
3,2807,2,Noida,449924
4,920,1,Bengaluru,412809
1,2052,2,Gurugram,342145
4,803,3,Gurugram,331532
3,1441,2,Gurugram,383476
5,3610,1,Bengaluru,1011525
4,3089,3,Gurugram,722769
5,1801,3,Bengaluru,665746
1,3774,2,Noida,403532
,1589,2,Noida,407904
5,2655,3,Gurugram,658077
2,2815,2,Gurugram,541145
2,2769,1,Bengaluru,626739
2,2327,2,Gurugram,491007
5,2053,2,Gurugram,538062
,3661,3,Noida,566750
5,1192,2,Noida,406616
3,754,2,Bengaluru,298912
3,1978,2,Gurugram,491939
2,2800,1,Noida,383335
4,756,2,Bengaluru,359346
1,2930,1,Bengaluru,637571
2,941,1,Bengaluru,291486
2,2381,1,Noida,343226
4,3146,1,Gurugram,677480
1,1613,3,Noida,223493
5,,1,Bengaluru,834236
5,1081,2,Bengaluru,474767
,3615,1,Gurugram,685704
1,,2,Gurugram,393826
2,3145,,Noida,411792
3,518,3,Noida,262126
2,1624,1,Bengaluru,428359
2,3154,1,Noida,407595
5,1880,3,Noida,445860
5,2065,1,Bengaluru,644596
5,2580,2,Gurugram,667823
,2493,1,Bengaluru,622512
5,3800,1,Noida,666926
1,2047,1,Gurugram,365223
4,1361,3,Gurugram,425408
1,654,1,Bengaluru,186232
1,3994,1,Noida,468661
5,1404,2,Gurugram,471203
4,1769,1,Bengaluru,559964
4,904,,Gurugram,366661
4,1343,1,Gurugram,418388
3,2282,1,,363200
5,2064,2,Noida,462245
4,1684,2,Bengaluru,521171
3,1246,3,Bengaluru,441504
2,2225,1,Bengaluru,569439
2,3688,3,Bengaluru,848912
3,770,3,Gurugram,341597
3,1269,1,Bengaluru,462557
5,2215,2,Noida,491956
5,2010,2,Gurugram,555552
2,671,1,Noida,182576
4,773,1,Noida,270879
2,2806,2,Bengaluru,700200
4,1658,1,Gurugram,462027
4,2206,1,Gurugram,545665
5,2271,1,Gurugram,635833
1,921,,Gurugram,195769
1,1944,3,Noida,262820
3,1709,3,,538967
5,2911,1,Gurugram,688210
4,2925,2,Bengaluru,837076
1,1079,1,Noida,187909
4,1390,2,Noida,351572
1,,1,Gurugram,206918
1,3767,2,Bengaluru,794355
1,1380,2,Gurugram,267364
5,1621,3,Bengaluru,612294
2,3152,1,Bengaluru,762445
4,2507,3,Bengaluru,727054
5,2569,,Bengaluru,776022
5,1973,2,Bengaluru,661785
5,3743,1,Noida,634707
5,882,2,Bengaluru,472498
5,2681,2,Gurugram,697138
3,1949,2,Bengaluru,539761
4,3596,1,Noida,578681
5,3050,1,Gurugram,700423
4,3756,2,Gurugram,766887
3,3656,1,Gurugram,729173
3,2090,2,Noida,375013
4,2286,1,Gurugram,565697
1,643,1,Bengaluru,199294
2,2386,3,Gurugram,486310
1,2202,2,Noida,296859
1,1935,3,Bengaluru,471077
1,723,3,Noida,129291
5,719,2,Noida,351646
3,678,2,Bengaluru,291480
1,2154,1,Bengaluru,469418
3,,2,Gurugram,326892
4,764,3,Gurugram,332773
2,1453,3,Gurugram,370163
4,928,2,Gurugram,381167
4,2963,3,Noida,516764
5,3274,1,Bengaluru,936166
2,2744,3,Bengaluru,671013
4,2077,,Bengaluru,624032
4,3624,,Gurugram,783475
2,979,1,Bengaluru,346587
2,1853,1,Gurugram,406767
4,3822,2,Noida,601044
2,1389,1,Noida,250966
4,1424,2,Gurugram,401937
4,2670,3,Bengaluru,784096
5,2402,3,Noida,538146
1,1910,3,Noida,276669
4,1862,1,Gurugram,503655
3,,3,Bengaluru,394896
1,2895,3,Noida,347864
1,528,2,Noida,158829
1,3522,2,Gurugram,593145
5,534,3,Gurugram,375248
4,1919,3,Noida,406967
5,3170,1,Noida,568156
4,3865,1,Gurugram,826843
5,1088,3,Gurugram,440050
5,3920,2,Bengaluru,1064471
3,3718,3,Bengaluru,926209
5,3638,1,Noida,628728
2,1403,2,Gurugram,334694
3,3067,2,Gurugram,590497
,2669,1,Noida,536441
1,839,3,Bengaluru,237047
2,674,,Bengaluru,300391
2,2423,3,Noida,356847
2,2214,1,Noida,321967
3,1096,2,Noida,328522
5,950,1,Noida,369468
5,1056,3,Gurugram,418731
1,1659,1,Gurugram,312378
1,3587,2,Bengaluru,762992
2,1856,1,Noida,300751
1,3766,3,Gurugram,628812
3,2556,2,Bengaluru,718496
,2881,1,Gurugram,700567
2,3904,1,Noida,510951
1,1516,2,Noida,240595
3,,2,Gurugram,622332
3,2562,3,Bengaluru,678618
1,1338,2,Bengaluru,339499
5,2137,3,Bengaluru,698490
,725,1,Bengaluru,246881
2,3996,3,Gurugram,683694
1,2313,,Bengaluru,511097
3,3979,2,Bengaluru,964200
1,2660,1,Gurugram,461738
,2520,,Noida,524330
4,1951,1,Gurugram,501726
1,2548,1,Noida,311551
5,2813,1,Noida,546125
5,2014,1,Bengaluru,672030
3,1731,3,Bengaluru,562014
5,2145,1,Noida,510137
5,2235,3,Gurugram,621269
5,3499,2,Bengaluru,959893
5,3940,2,Bengaluru,1049492
2,,3,,224468
2,2559,2,Bengaluru,650864
3,3916,2,Bengaluru,952305
1,2223,1,Bengaluru,513345
5,2189,1,Gurugram,595024
1,2017,1,Noida,247747
1,1891,3,Bengaluru,441778
3,3484,3,Noida,519341
5,919,2,Bengaluru,463514
5,3436,1,Noida,601984
4,2718,3,Gurugram,602393
1,633,3,Gurugram,154467
1,2530,1,,307652
2,3512,3,Bengaluru,831791
4,1950,,Noida,415309
2,3596,2,Bengaluru,839985
2,2053,2,Bengaluru,523345
2,3761,2,Gurugram,676208
3,1664,1,Bengaluru,496829
3,2369,3,Noida,425260
2,2319,2,Bengaluru,577203
4,3205,2,Gurugram,679196
1,3886,2,Gurugram,650927
4,1842,3,Gurugram,493302
5,1964,3,Bengaluru,678551
3,3663,1,Bengaluru,922214
1,2726,2,,315568
1,1579,3,Gurugram,339863
5,1678,1,Noida,437180
5,2195,2,Bengaluru,731056
2,610,,Noida,182285
3,2684,3,Bengaluru,687879
3,2779,1,Noida,441493
4,3539,,Gurugram,778843
2,967,2,Bengaluru,292189
2,3279,3,Bengaluru,767593
,3028,2,Bengaluru,737343
2,3639,1,Gurugram,645605
3,1313,3,Bengaluru,475921
3,1772,3,Gurugram,458841
2,1493,1,Bengaluru,394215
4,2531,3,Gurugram,598357
1,822,2,Gurugram,182797
1,3469,2,Noida,416041
4,,3,Gurugram,446539
2,2041,1,Noida,318728
3,2499,1,Bengaluru,637305
1,,2,Bengaluru,551037
5,3153,1,Bengaluru,884798
5,2976,3,Noida,559049
4,3840,3,Noida,604739
2,647,2,Bengaluru,269686
1,,2,Gurugram,319956
2,1349,2,Gurugram,327901
1,866,1,Bengaluru,209800
4,3397,3,Gurugram,742194
4,1589,,Noida,408850
5,2538,3,Bengaluru,751540
2,3360,2,Noida,448221
5,3941,3,Bengaluru,1080663
2,674,1,Noida,180564
5,2354,1,Bengaluru,710423
3,1087,3,Noida,296665
3,994,2,Bengaluru,345451
3,3520,3,Noida,514649
3,,1,Bengaluru,472148
1,3682,1,Gurugram,643167
,2284,,Noida,355005
4,1670,3,Bengaluru,532082
4,534,1,,295766
1,1498,2,Noida,221896
3,1832,3,Noida,353801
3,3085,3,Gurugram,643026
3,3297,1,Noida,468409
5,1537,1,Noida,415542
2,873,2,Noida,211491
5,3104,3,Gurugram,769894
2,1951,1,Gurugram,440795
3,2251,2,Noida,389747
3,2780,1,Bengaluru,690533
5,,3,Bengaluru,528499
5,1062,1,Noida,363523
2,3486,3,Noida,475038
4,3434,1,Bengaluru,864578
2,3273,3,Gurugram,622922
5,3846,2,Gurugram,855357
5,2373,3,Gurugram,655818
1,2623,2,Bengaluru,584490
5,938,3,Noida,357292
1,2383,2,Bengaluru,536330
4,2479,1,Bengaluru,724473
2,1198,,Gurugram,337422
2,1812,1,Bengaluru,494819
1,3462,2,Noida,429153
2,2063,3,Gurugram,438806
5,,3,Gurugram,798174
3,1191,1,Gurugram,344040
1,2800,,Noida,354957
2,3697,3,Gurugram,702333
1,,1,Noida,196944
1,3608,3,Noida,411445
3,2957,,Noida,422609
5,2134,1,Bengaluru,670756
1,2133,1,Noida,300223
2,,1,Bengaluru,211420
4,2006,1,Noida,387557
1,1691,2,Noida,222592
1,3139,2,,563000
3,793,1,Noida,268005
5,1866,2,Gurugram,570201
4,1519,2,Gurugram,469390
2,2857,3,Bengaluru,734438
4,3209,1,Bengaluru,815870
2,3075,,Gurugram,556752
,3087,3,Bengaluru,883385
2,918,3,Noida,223874
3,943,1,Gurugram,303459
3,1184,1,Bengaluru,399121
3,3387,3,Noida,535384
3,2783,1,Noida,399943
4,1962,1,Noida,403393
5,2761,3,Gurugram,699462
2,584,3,Gurugram,211089
2,3341,1,Gurugram,614932
3,2267,2,Gurugram,530494
3,584,1,,248844
,2444,2,Bengaluru,601555
5,2612,3,Noida,560217
4,2169,2,Bengaluru,659122
2,1162,3,Bengaluru,372474
1,1126,1,,300066
1,563,1,Bengaluru,206308
2,3914,3,Gurugram,740585
4,3486,3,Noida,588884
1,1418,3,Gurugram,278126
1,1875,1,Bengaluru,443298
5,1681,1,Gurugram,523728
4,2112,2,,446757
1,990,3,Noida,164322
4,2378,2,Bengaluru,710361
2,3796,1,Noida,505610
3,2440,2,Noida,389802
1,812,2,Gurugram,167771
5,3162,1,Bengaluru,914760
,1418,1,Gurugram,305596
4,2382,3,Gurugram,618054
2,1312,2,Gurugram,311221
1,3487,1,Noida,416397
4,1989,1,Bengaluru,614525
3,3659,2,,704560
,1826,1,Gurugram,411709
1,1179,3,Bengaluru,310240
5,934,3,Bengaluru,467975
4,1181,2,Gurugram,357506
2,1658,3,Noida,269072
2,1573,1,Bengaluru,447142
3,1955,,Gurugram,453139
3,2887,1,,725688
5,2894,1,Bengaluru,827410
5,3193,2,Noida,600271
1,1870,3,Bengaluru,479207
1,1148,3,Gurugram,240965
5,744,1,Gurugram,393517
5,2656,2,Noida,532398
4,3080,,Bengaluru,836012
3,3661,1,Gurugram,673649
1,795,2,Gurugram,157176
3,2659,2,Bengaluru,718201
3,2112,1,Gurugram,482298
5,3748,3,Gurugram,850273
4,2890,1,,766424
,2648,3,Bengaluru,651155
4,3176,3,Bengaluru,831755
4,2127,2,Bengaluru,628451
3,3972,2,Gurugram,765342
4,527,1,Gurugram,295606
1,3484,3,Noida,414141
3,2485,3,Bengaluru,688043
1,2060,1,Gurugram,368234
2,557,1,Bengaluru,216881
3,2021,,Noida,363772
2,796,2,Noida,241592
3,2681,1,Noida,424879
5,3902,1,Noida,669244
4,2796,3,Gurugram,660325
5,3568,1,Noida,611836
2,3097,3,,408694
4,1401,3,Noida,357555
3,2464,2,Bengaluru,664327
4,1598,,Bengaluru,527504
1,2177,1,Noida,303632
4,3381,3,Bengaluru,891529
1,1691,2,Gurugram,320713
4,1270,2,,357727
1,2026,1,Gurugram,358337
2,1878,3,Noida,337273
5,1748,1,Bengaluru,587848
3,2054,1,Noida,335004
4,645,1,Bengaluru,333271
5,2483,1,Noida,506879
3,1764,3,Gurugram,448962
3,2407,2,Bengaluru,654169
1,3440,1,Noida,395832
2,2891,1,Gurugram,513490
2,2272,1,Gurugram,448425
5,1558,1,Gurugram,472915
2,3249,2,Noida,446311
4,2548,2,Noida,452640
2,2519,,Gurugram,505434
5,652,2,Gurugram,401158
2,,1,,541880
4,1007,3,Noida,305397
1,3697,2,Gurugram,647440
5,990,2,Gurugram,453840
1,844,1,Gurugram,161688
1,2435,1,Gurugram,423419
1,2261,1,Noida,295835
3,720,1,Noida,226794
3,2438,3,Noida,388767
1,2442,3,Gurugram,418841
5,1222,2,Noida,366844
,3596,3,Gurugram,748597
4,1027,2,Gurugram,375787
2,3753,2,Gurugram,704904
5,2022,3,Gurugram,556150
3,3388,2,Noida,493081
1,2164,1,Gurugram,362400
2,3613,2,Bengaluru,848368
4,980,1,Bengaluru,389561
3,3477,3,Bengaluru,855185
3,2371,3,Bengaluru,622258
1,3419,,Gurugram,610044
4,1962,,Noida,449991
5,1925,2,Gurugram,560433
3,844,3,Noida,294111
1,544,2,Gurugram,140261
